[NX Daemon Server] - 2024-10-08T03:04:20.297Z - Started listening on: /var/folders/kt/hq5p3tp50zq8337qzf1_8w_m0000gn/T/2e387e4bf9520597c0b6/d.sock
[NX Daemon Server] - 2024-10-08T03:04:20.300Z - [WATCHER]: Subscribed to changes within: /Users/kb/Desktop/project/subject (native)
[NX Daemon Server] - 2024-10-08T03:04:20.304Z - Established a connection. Number of open connections: 1
[NX Daemon Server] - 2024-10-08T03:04:20.305Z - Established a connection. Number of open connections: 2
[NX Daemon Server] - 2024-10-08T03:04:20.305Z - Closed a connection. Number of open connections: 1
[NX Daemon Server] - 2024-10-08T03:04:20.306Z - [REQUEST]: Client Request for Project Graph Received
[NX Daemon Server] - 2024-10-08T03:04:20.389Z - Established a connection. Number of open connections: 2
[NX Daemon Server] - 2024-10-08T03:04:20.389Z - Established a connection. Number of open connections: 3
[NX Daemon Server] - 2024-10-08T03:04:20.391Z - Established a connection. Number of open connections: 4
[NX Daemon Server] - 2024-10-08T03:04:20.391Z - Established a connection. Number of open connections: 5
[NX Daemon Server] - 2024-10-08T03:04:20.391Z - Established a connection. Number of open connections: 6
[NX Daemon Server] - 2024-10-08T03:04:20.391Z - Established a connection. Number of open connections: 7
[NX Daemon Server] - 2024-10-08T03:04:20.391Z - Established a connection. Number of open connections: 8
[NX Daemon Server] - 2024-10-08T03:04:20.391Z - Established a connection. Number of open connections: 9
[NX Daemon Server] - 2024-10-08T03:04:20.392Z - Established a connection. Number of open connections: 10
[NX Daemon Server] - 2024-10-08T03:04:20.392Z - Established a connection. Number of open connections: 11
[NX Daemon Server] - 2024-10-08T03:04:20.392Z - Established a connection. Number of open connections: 12
[NX Daemon Server] - 2024-10-08T03:04:20.392Z - Established a connection. Number of open connections: 13
[NX Daemon Server] - 2024-10-08T03:04:20.392Z - Established a connection. Number of open connections: 14
[NX Daemon Server] - 2024-10-08T03:04:20.392Z - Established a connection. Number of open connections: 15
[NX Daemon Server] - 2024-10-08T03:04:20.392Z - Established a connection. Number of open connections: 16
[NX Daemon Server] - 2024-10-08T03:04:20.392Z - Established a connection. Number of open connections: 17
[NX Daemon Server] - 2024-10-08T03:04:20.392Z - Established a connection. Number of open connections: 18
[NX Daemon Server] - 2024-10-08T03:04:20.392Z - Established a connection. Number of open connections: 19
[NX Daemon Server] - 2024-10-08T03:04:20.393Z - Established a connection. Number of open connections: 20
[NX Daemon Server] - 2024-10-08T03:04:20.393Z - Established a connection. Number of open connections: 21
[NX Daemon Server] - 2024-10-08T03:04:20.393Z - Established a connection. Number of open connections: 22
[NX Daemon Server] - 2024-10-08T03:04:20.393Z - Established a connection. Number of open connections: 23
[NX Daemon Server] - 2024-10-08T03:04:20.393Z - Established a connection. Number of open connections: 24
[NX Daemon Server] - 2024-10-08T03:04:20.393Z - Established a connection. Number of open connections: 25
[NX Daemon Server] - 2024-10-08T03:04:20.393Z - Established a connection. Number of open connections: 26
[NX Daemon Server] - 2024-10-08T03:04:20.393Z - Established a connection. Number of open connections: 27
